metric,start_index,end_index,start_phase,end_phase,cluster_mass,p_value,p_holm_across_metrics,direction
theta,52,52,0.52,0.52,1.982332689,0.3168683132,0.3168683132,-1
theta,59,68,0.59,0.68,24.1643564,0.07339266073,0.1467853215,-1
omega,34,34,0.34,0.34,2.419656575,0.4209579042,0.4209579042,-1
omega,39,39,0.39,0.39,2.551293474,0.3547645235,0.3547645235,-1
omega,46,46,0.46,0.46,2.22387235,0.5521447855,0.5521447855,1
omega,57,57,0.57,0.57,2.078376491,0.6694330567,0.6694330567,1
omega,95,95,0.95,0.95,2.723189706,0.2932706729,0.2932706729,1
tilt,0,4,0,0.04,16.68907131,0.1817818218,0.1817818218,1
tilt,10,14,0.1,0.14,15.17528918,0.204779522,0.204779522,-1
tilt,19,36,0.19,0.36,81.81279074,0.00099990001,0.00399960004,1
tilt,43,47,0.43,0.47,10.88452185,0.2900709929,0.2900709929,-1
tilt,73,87,0.73,0.87,63.76451254,0.002799720028,0.00399960004,-1
tilt,91,100,0.91,1,46.1022019,0.01299870013,0.01299870013,1
wrist,30,57,0.3,0.57,97.50672491,0.007899210079,0.02369763024,-1
wrist,87,88,0.87,0.88,4.591352153,0.2763723628,0.2763723628,1
