outcome,transform,formula,cycle_reference,include_outer_fold,random_structure,fallback_reason,converged,n_people,n_cycles,cohort_effect,cohort_effect_se,cohort_effect_standardized,cohort_ci_low,cohort_ci_high,cohort_p_value,cycle_effect,cycle_effect_se,cycle_ci_low,cycle_ci_high,cycle_p_value,interaction_effect,interaction_effect_se,interaction_ci_low,interaction_ci_high,interaction_p_value,random_intercept_variance,random_slope_variance,intercept_slope_covariance,model_outcome_sd,aic,bic,residual_scale,maximum_absolute_standardized_residual,source,estimand,cohort_p_holm_within_source
trunk_axial_rotation_rom,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept,random-slope fit is singular or unconverged,True,137,928,0.247524732,0.1386123722,0.2101651489,-0.02415052519,0.5191999893,0.07414244706,0.0001479795601,0.1359980813,-0.2664033617,0.2666993208,0.9991318217,-0.083700589,0.1782993191,-0.4331608329,0.2657596549,0.638756138,0.519090559,0,0,1.17776298,2692.84187,2765.337346,0.8056872465,13.39775923,oof_a6,mixed_model_mid_repetition_cohort_effect,0.2965697882
angular_speed_p95,log,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept_slope,,True,137,928,0.3006027493,0.0954088896,0.4710827751,0.1136047619,0.4876007367,0.001628916158,0.0008133966257,0.0464250464,-0.09017802229,0.09180481554,0.9860212653,-0.03629311774,0.06081401648,-0.1554863998,0.08290016431,0.5506484644,0.29537305,0.05994820759,0.008678545403,0.638110254,454.595067,536.7566065,0.04800306243,6.026939012,oof_a6,mixed_model_mid_repetition_cohort_effect,0.0114024131
peak_rotation_phase,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept_slope,,True,137,928,-0.001325519582,0.02832010892,-0.00493128498,-0.0568319131,0.05418087394,0.9626687317,-0.008445063764,0.03548605826,-0.0779964599,0.06110633237,0.8118946038,0.01557032353,0.04651643179,-0.07560020746,0.1067408545,0.7378307424,0.01895643549,0.003758985855,0.001389696996,0.2687980086,100.6918965,182.853436,0.05196355119,3.330697847,oof_a6,mixed_model_mid_repetition_cohort_effect,1
trunk_tilt_p95,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept_slope,,True,137,928,0.004191879378,0.002060355514,0.3021606386,0.0001536567765,0.00823010198,0.04189700038,0.000764458639,0.001044859264,-0.001283427888,0.002812345166,0.4643896084,-0.0005104756741,0.00136904452,-0.003193753626,0.002172802278,0.709245177,0.0001366986876,2.365090996e-05,-9.15404608e-06,0.01387301601,-6474.059398,-6391.897859,2.944523055e-05,4.604299744,oof_a6,mixed_model_mid_repetition_cohort_effect,0.2513820023
wrist_lead_p95,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept,random-slope fit is singular or unconverged,True,137,928,0.02891792158,0.04667533455,0.07078854469,-0.0625640531,0.1203998963,0.5355510172,-0.06858657018,0.04891595289,-0.1644600761,0.02728693575,0.1608761544,-0.01146529882,0.06413091282,-0.1371595782,0.1142289806,0.8581107655,0.05695379085,0,0,0.4085113164,776.9610161,849.4564921,0.1042322141,3.53682885,oof_a6,mixed_model_mid_repetition_cohort_effect,1
cycle_duration,log,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept_slope,,True,137,928,-0.01268123557,0.006568623787,-0.16128379,-0.02555550162,0.0001930304802,0.05353535496,0.01625965872,0.01384817451,-0.01088226457,0.04340158201,0.240340021,-0.01265210755,0.0181428606,-0.0482114609,0.02290724581,0.4855774491,0.0007432270768,0.004817240577,0.000326401297,0.07862684507,-2134.884164,-2052.722625,0.004666199883,10.28275925,oof_a6,mixed_model_mid_repetition_cohort_effect,0.2676767748
log_dimensionless_angular_jerk,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept_slope,,True,137,928,0.4232891978,0.09680001431,0.5445677294,0.233564656,0.6130137396,1.226509225e-05,0.05218230655,0.08949357739,-0.123221882,0.2275864951,0.5598365023,-0.01671710902,0.1172479887,-0.2465189442,0.2130847261,0.8866226295,0.2808097068,0.186399677,0.001796908289,0.7772939434,1591.974496,1674.136035,0.206182041,5.06641773,oof_a6,mixed_model_mid_repetition_cohort_effect,9.812073797e-05
whole_body_repeatability,log,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept_slope,,True,137,928,-0.01446974199,0.04641948008,-0.03855909573,-0.1054502511,0.07651076715,0.755255592,-0.004623817079,0.05465012219,-0.1117360883,0.1024884542,0.9325733364,0.03472688286,0.07158254133,-0.1055723201,0.1750260858,0.6275836909,0.06248029683,0.08955034358,0.01527713213,0.3752614453,462.2954187,544.4569582,0.06156815159,5.952832355,oof_a6,mixed_model_mid_repetition_cohort_effect,1
trunk_axial_rotation_rom,identity,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept_slope,,True,137,928,-0.05555174599,0.03832680904,-0.2348926738,-0.1306709113,0.01956741937,0.1472195808,0.002180779753,0.01154677158,-0.02045047669,0.02481203619,0.8501987115,-0.01561752998,0.01512432605,-0.04526066432,0.01402560436,0.3017864569,0.04840580041,0.003991429534,-0.001845961297,0.236498419,-2047.023377,-1964.861838,0.002753248495,5.443362455,face,mixed_model_mid_repetition_cohort_effect,0.8833174847
angular_speed_p95,log,"_model_outcome ~ C(cohort, Treatment(reference='student')) * _cycle_position_centered + C(outer_fold)",0.5,True,random_intercept_slope,,True,137,928,-0.01113684798,0.03826023496,-0.0467322129,-0.08612553053,0.06385183458,0.7709889606,0.00674457249,0.01342971186,-0.01957717908,0.03306632406,0.615517877,-0.01313693982,0.01759496019,-0.0476224281,0.02134854846,0.4552864301,0.04793490953,0.004014160405,0.002953370361,0.2383120183,-1645.889494,-1563.727955,0.004783254016,3.551136929,face,mixed_model_mid_repetition_cohort_effect,1
