outcome,source,effect,ci_low,ci_high,p_value,n_elderly,n_student,p_holm_within_source
trunk_axial_rotation_rom,oof_a6,-0.04978467185,-0.11816522,0.06600768703,0.2748725127,80,57,1
angular_speed_p95,oof_a6,0.1280797295,-0.04428114241,0.3696478482,0.1463853615,80,57,0.8783121688
peak_rotation_phase,oof_a6,0,-0.0225,0.21,1,80,57,1
trunk_tilt_p95,oof_a6,0.003677138775,-0.00167343166,0.008167274505,0.102689731,80,57,0.7188281172
wrist_lead_p95,oof_a6,-0.0055122615,-0.2848654913,0.0488809464,0.7300269973,80,57,1
cycle_duration,oof_a6,-0.0125,-0.016666667,0.016666667,0.7772222778,80,57,1
log_dimensionless_angular_jerk,oof_a6,0.080838625,-0.01119529238,0.2088988862,0.06449355064,80,57,0.5159484052
whole_body_repeatability,oof_a6,-0.000424525655,-0.002049698141,0.001008933394,0.498550145,80,57,1
trunk_axial_rotation_rom,face,-0.0892746081,-0.1776070353,0.06180538555,0.1382861714,80,57,0.6914308569
angular_speed_p95,face,-0.0191978285,-0.2098617114,0.1343355505,0.8094190581,80,57,1
peak_rotation_phase,face,0,-0.055,0.055,1,80,57,1
trunk_tilt_p95,face,0.00078315185,-0.003023263878,0.004466282701,0.7232276772,80,57,1
wrist_lead_p95,face,-0.0356022185,-0.1357153816,0.01033539685,0.1083891611,80,57,0.6503349665
cycle_duration,face,-0.0125,-0.016666667,0.016666667,0.7825217478,80,57,1
log_dimensionless_angular_jerk,face,0.16618266,0.06876728825,0.2115088423,0.002199780022,80,57,0.01759824018
whole_body_repeatability,face,-0.002608168545,-0.006719235418,0.0001756686,0.07679232077,80,57,0.5375462454
trunk_axial_rotation_rom,side,-0.0481453751,-0.1427224201,0.02134285236,0.1722827717,80,57,0.5168483152
angular_speed_p95,side,0.146688306,0.01840376,0.3197508585,0.04549545045,80,57,0.1819818018
peak_rotation_phase,side,-0.2,-0.4575,-0.02,9.9990001e-05,80,57,0.000799920008
trunk_tilt_p95,side,0.00936839458,0.002649413777,0.01407439065,0.006899310069,80,57,0.04139586041
wrist_lead_p95,side,0.1042035535,0.03801848328,0.6099928135,9.9990001e-05,80,57,0.000799920008
cycle_duration,side,-0.0125,-0.016666667,0.016666667,0.7812218778,80,57,0.7812218778
log_dimensionless_angular_jerk,side,0.131941005,0.006642638125,0.2326663094,0.01269873013,80,57,0.06349365063
whole_body_repeatability,side,-0.00248494694,-0.006423218522,0.001080454843,0.195780422,80,57,0.5168483152
trunk_axial_rotation_rom,deterministic,-0.08444274945,-0.1481001635,0.05173954343,0.03799620038,80,57,0.1899810019
angular_speed_p95,deterministic,0.148593521,-0.042745052,0.2745847361,0.007499250075,80,57,0.05249475052
peak_rotation_phase,deterministic,-0.02,-0.2325625,-0.0025,0.01759824018,80,57,0.1055894411
trunk_tilt_p95,deterministic,0.00426345258,-0.0009507030303,0.007899009122,0.06599340066,80,57,0.197980202
wrist_lead_p95,deterministic,0.0406879375,0.0122070181,0.3257377792,9.9990001e-05,80,57,0.000799920008
cycle_duration,deterministic,-0.0125,-0.016666667,0.016666667,0.7673232677,80,57,0.8717128287
log_dimensionless_angular_jerk,deterministic,0.116194295,0.03656966889,0.2318351422,0.04389561044,80,57,0.1899810019
whole_body_repeatability,deterministic,-0.0006287476,-0.00193003247,0.001299963899,0.4358564144,80,57,0.8717128287
