Date,scene,Session,CamFrameNum,NumCam,SessionFrameNum,Actions,subject,
2022/6/18,2,a7ed6e6a01_video,975,8,7800,walk sit,subj36,
2022/6/18,1,d5b77e0501_video,400,8,3200,pass,subj36,
2022/6/18,1,d5b77e0502_video,279,8,2232,dribble,subj36,
2022/6/18,1,1b492fd601_video,800,8,6400,drink,subj22,
2022/6/18,1,3f97b19c01_video,927,8,7416,wave hands,subj12,
2022/6/18,2,4ab10fdf01_video,828,8,6624,sit,subj22,
2022/6/18,1,31a9f57701_video,975,8,7800,dribble,subj22,
2022/6/18,1,9055432801_video,404,8,3232,tie shoe,subj36,
2022/6/18,1,9055432802_video,308,8,2464,strentch,subj36,
2022/6/19,3,0aefa41501_video,775,8,6200,drink,subj36,
2022/6/19,3,0ce09a6b01_video,900,8,7200,phone call,subj19,
2022/6/19,3,0ce09a6b02_video,375,8,3000,play phone,subj19,
2022/6/19,3,3da3c65b01_video,100,8,800,pick up,subj22,
2022/6/19,3,3da3c65b02_video,129,8,1032,wave hand,subj22,
2022/6/19,3,3da3c65b03_video,309,8,2472,play phone,subj22,
2022/6/19,3,3da3c65b04_video,934,8,7472,package,subj22,
2022/6/19,3,7e534e1401_video,350,8,2800,sit,subj12,
2022/6/19,3,7e534e1402_video,452,8,3616,play phone,subj12,
2022/6/19,3,7e534e1403_video,483,8,3864,phone call,subj12,
2022/6/19,3,7e534e1404_video,428,8,3424,sit,subj12,
2022/6/19,3,69d735b801_video,300,8,2400,drink,subj19,
2022/6/19,3,69d735b802_video,350,8,2800,pace,subj19,
2022/6/19,3,69d735b803_video,177,8,1416,drink,subj19,
2022/6/19,3,69d735b804_video,334,8,2672,pace,subj19,
2022/6/19,3,a2a50ad201_video,550,8,4400,drink,subj12,
2022/6/19,3,a2a50ad202_video,735,8,5880,drink,subj12,
2022/6/19,3,a578947601_video,700,8,5600,drink,subj22,
2022/6/19,3,a578947602_video,354,8,2832,talk,subj22,
2022/6/19,3,a578947603_video,231,8,1848,drink,subj22,
2022/6/19,3,ac6b8bac01_video,100,8,800,move chair,subj22,
2022/6/19,3,ac6b8bac02_video,304,8,2432,sit,subj22,
2022/6/19,3,ac6b8bac03_video,254,8,2032,play phone,subj22,
2022/6/19,3,ac6b8bac04_video,802,8,6416,phone call,subj22,
2022/6/19,3,b314971301_video,75,8,600,jump,subj36,
2022/6/19,3,b314971302_video,178,8,1424,push up,subj36,
2022/6/19,3,b314971303_video,385,8,3080,strentch upper,subj36,
2022/6/19,3,b314971304_video,326,8,2608,strentch lower,subj36,
2022/6/19,3,b314971305_video,177,8,1416,jump,subj36,
2022/6/19,3,dd7ccd0801_video,250,8,2000,phone call,subj36,
2022/6/19,3,dd7ccd0802_video,210,8,1680,pull chair,subj36,
2022/6/19,3,dd7ccd0803_video,406,8,3248,phone call,subj36,
2022/6/19,3,dd7ccd0804_video,310,8,2480,phone call,subj36,
2022/6/19,3,e555b1c301_video,175,8,1400,wave hand,subj12,
2022/6/19,3,e555b1c302_video,207,8,1656,tie shoe,subj12,
2022/6/19,3,e555b1c303_video,228,8,1824,turn around,subj12,
2022/6/19,3,e555b1c304_video,250,8,2000,wave hand,subj12,
2022/6/19,3,f35f5a8e01_video,400,8,3200,move things,subj19,
2022/6/19,3,f35f5a8e02_video,504,8,4032,sit,subj19,
2022/6/19,3,f35f5a8e03_video,250,8,2000,strentch upper,subj19,
2022/6/25,4,207c3b9101_video,600,8,4800,move things,subj22,
2022/6/25,4,207c3b9102_video,325,8,2600,relax,subj22,
2022/6/25,4,207c3b9103_video,726,8,5808,move things,subj22,
2022/6/25,4,3a7c02be01_video,1300,8,10400,photo,subj12,
2022/6/25,4,5d287d8501_video,1250,8,10000,photo,subj22,
2022/6/25,5,8c26f24d01_video,150,8,1200,pose,subj22,
2022/6/25,5,8c26f24d02_video,756,8,6048,boxing,subj22,
2022/6/25,5,8c26f24d03_video,550,8,4400,boxing,subj22,
2022/6/25,4,977d536d01_video,475,8,3800,move things,subj36,
2022/6/25,4,977d536d02_video,650,8,5200,move things,subj36,
2022/6/25,4,977d536d03_video,402,8,3216,move things,subj36,
2022/6/25,5,abf1c16101_video,1500,8,12000,move things,subj12,
2022/6/25,5,badf065001_video,2900,8,23200,strentch,subj12,
2022/6/27,5,4dd2d46401_video,650,8,5200,throw things,subj22,
2022/6/27,5,4dd2d46402_video,727,8,5816,throw,subj22,
2022/6/27,5,4dd2d46403_video,1657,8,13256,throw,subj22,
2022/6/27,5,5d77a6cd01_video,175,8,1400,throw,subj12,
2022/6/27,5,5d77a6cd02_video,132,8,1056,kick,subj12,
2022/6/27,5,5d77a6cd03_video,250,8,2000,eat,subj12,
2022/6/27,5,5d77a6cd04_video,260,8,2080,throw,subj12,
2022/6/27,5,5d77a6cd05_video,258,8,2064,eat,subj12,
2022/6/27,5,5d77a6cd06_video,806,8,6448,throw,subj12,
